ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,mae_obs_train,nmae_obs_train,negLL_obs_val,negLL_obs_trainval,mae_obs_val,mae_obs_trainval,nmae_obs_val,nmae_obs_trainval,negLL_obs_test,mae_obs_test,nmae_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
114,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.005519093211622609,0.0014593178943165907,500,3000,3,500,2,1.5910295168558757,0.016208799680074056,20.20370825378808,25.24525962267757,NaN,NaN,0.008825508585994369,0.0068022778512119055,0.008481928110254416,NaN,NaN,75.22042395117063,3.2361889273803364,0.06654704768981314,18.031572112064836,93.25199606323547,3.590183151881161,3.3025628444742403,0.05972726486864104,0.06543350402241169,NaN,NaN,NaN,3.8302163559378184,6.554398668948082,3.171108460107523
115,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.6915729866469784,0.006230680133010517,500,3000,1,500,13,49.56346120039622,40.157519070307416,21.850841848645967,26.603691003839515,NaN,NaN,0.009680160855362715,0.007557444342996897,0.009294205157287882,NaN,NaN,76.0259225042275,3.418574432688265,0.07060360945159774,18.09801000767404,94.12393251190153,3.866479623846732,3.502556656030478,0.0665796053083804,0.06994746541315112,NaN,NaN,NaN,3.8526119784444797,6.591478186731934,3.1527127564830226
116,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.4187651903172794,0.00035763370980287397,500,3000,7,500,2,3.6557879487673444,0.055097782611846925,20.248119943387483,25.20753983801536,NaN,NaN,0.00883085590241009,0.0068222983651445674,0.008483455204398247,NaN,NaN,75.01606020405387,3.2225278796222088,0.06608680205676586,17.999415988883616,93.01547619293748,3.59624082417408,3.292599056725684,0.0599800605710772,0.06508608559807806,NaN,NaN,NaN,3.836019441995536,6.565481583147342,3.166199757900683
117,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.7592100029088713,0.0006355815601612017,500,3000,5,500,1,1.5907746831576028,0.00941153367360433,20.16702680174065,24.946831044195743,NaN,NaN,0.008784876326688014,0.006688666476908606,0.00841423873884955,NaN,NaN,74.7834905045932,3.2063765147888987,0.0657147660964325,17.987850582762384,92.7713410873556,3.563319280748713,3.273303283406364,0.05925354798660481,0.06462623039288184,NaN,NaN,NaN,3.8330316248674783,6.593620216112664,3.1686881119524757
118,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.02668991157069685,0.004946168083526195,500,3000,1,500,2,1.6929818828900656,0.01589625279108683,21.850841848645967,26.603691003839515,NaN,NaN,0.009680160855362715,0.007557444342996897,0.009294205157287882,NaN,NaN,76.0259225042275,3.418574432688265,0.07060360945159774,18.09801000767404,94.12393251190153,3.866479623846732,3.502556656030478,0.0665796053083804,0.06994746541315112,NaN,NaN,NaN,3.8526119784444797,6.591478186731934,3.1527127564830226
119,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.510907170189881,0.0017879677016195612,500,3000,2,500,2,36.73688145081202,0.05138338009516398,20.398273149506505,25.555575098480684,NaN,NaN,0.008927231099187095,0.006977898254854951,0.008592073894168167,NaN,NaN,75.0421545212717,3.2287913513902016,0.06623037663425133,18.032907333763372,93.07506185503507,3.666369618708826,3.310837276512444,0.06153940364459565,0.0655015931279713,NaN,NaN,NaN,3.8388604546247964,6.615089285141515,3.1640064410499154
120,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.3575631054098621,0.0020558501059412325,500,3000,2,500,2,2.018332318464915,0.02208755016326904,20.28579340670869,25.345952716298683,NaN,NaN,0.008872556273387754,0.006868314247033845,0.008529963828642255,NaN,NaN,75.1373831654023,3.235365301285236,0.06649680172059605,18.024377463766584,93.16176062916888,3.6187068792059356,3.307241847145367,0.06039043293322984,0.06551206923491978,NaN,NaN,NaN,3.836804363503241,6.564433516820373,3.165701999323776
121,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.007600569609647496,0.007520014035092872,500,3000,1,500,4,3.603094053268433,0.07251818577448527,21.850841848645967,26.603691003839515,NaN,NaN,0.009680160855362715,0.007557444342996897,0.009294205157287882,NaN,NaN,76.0259225042275,3.418574432688265,0.07060360945159774,18.09801000767404,94.12393251190153,3.866479623846732,3.502556656030478,0.0665796053083804,0.06994746541315112,NaN,NaN,NaN,3.8526119784444797,6.591478186731934,3.1527127564830226
122,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.01892560987793666,0.00013510185727420973,500,3000,15,500,30,1.6304860671361288,0.1504783511161804,20.309073047715838,25.198225075518437,NaN,NaN,0.008860732670502155,0.006847338468931487,0.008512221832040014,NaN,NaN,75.09356453811961,3.226087464104831,0.0661469530674891,17.981012639642575,93.0745771777622,3.612717473817678,3.2985805909259898,0.06044426681149145,0.06522340689678578,NaN,NaN,NaN,3.8378559758250335,6.565897952092213,3.1646072916593413
123,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.08319929777652484,0.005607032888383879,500,3000,1,500,3,3.060546314716339,0.2019384980201721,21.850841848645967,26.603691003839515,NaN,NaN,0.009680160855362715,0.007557444342996897,0.009294205157287882,NaN,NaN,76.0259225042275,3.418574432688265,0.07060360945159774,18.09801000767404,94.12393251190153,3.866479623846732,3.502556656030478,0.0665796053083804,0.06994746541315112,NaN,NaN,NaN,3.8526119784444797,6.591478186731934,3.1527127564830226
