ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,mae_obs_train,nmae_obs_train,negLL_obs_val,negLL_obs_trainval,mae_obs_val,mae_obs_trainval,nmae_obs_val,nmae_obs_trainval,negLL_obs_test,mae_obs_test,nmae_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
2887,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2887,l2,0.014996968230406393,0.000223100819184228,500,3000,570,500,70,4.283319250742594,0.13148666620254518,3483.985804939497,3289.9189825761077,NaN,NaN,9.600589963625873e46,3.783913881478249e43,1.1861753189883453e45,NaN,NaN,361.8653700745294,50.367649199755135,1.7007145496152203e23,83.76273246992207,445.6281025444515,50.75353594646886,50.440002964763956,4.0817597056514125e21,2.240725839183119e22,NaN,NaN,NaN,66.57678596379255,100000.09999999999,100000.09999999999
2888,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2888,l2,0.0780363205184074,0.00014854922849618542,500,3000,515,500,15,1.6475516160329182,0.031161201000213624,2915.8719194065498,3128.5681064035684,NaN,NaN,1.8343728066054827e23,7.397593832977659e15,2.0269052827444544e17,NaN,NaN,322.84995652264735,40.288907072287415,3.117939580270082e11,73.85613229451695,396.7060888171643,44.520772637008186,41.08238186567256,6.79173542976802e7,3.3457114154451364e8,NaN,NaN,NaN,100000.09999999999,100000.09999999999,3.995587170660654
2889,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2889,l2,0.0,0.001018468716811622,500,3000,507,500,8,0.9097924828529358,13.481618316968282,3415.261877890548,3692.1770881125462,NaN,NaN,1.2533340334925766e11,1.2246565760762074e11,1.2480076387391534e11,NaN,NaN,361.75815391220783,51.81743735782245,184875.3964162365,83.67112850473224,445.42928241694017,57.44787593479285,52.8731445910044,194077.43275032743,186590.38385447362,NaN,NaN,NaN,77.50127847394764,100000.09999999999,100000.09999999999
2890,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2890,l2,0.0,0.005190612613731105,500,3000,538,500,40,3.182951315244039,0.08635214964548747,2920.0202741640555,3129.3511238297224,NaN,NaN,1.2331076717274449e27,1.946635659797775e25,2.2183846010293183e26,NaN,NaN,327.0141406815443,40.780110215743164,2.4306723741439332e13,74.4337035509938,401.4478442325381,44.37789764961344,41.45469535959385,3.327296426638252e12,1.0566599348402326e13,NaN,NaN,NaN,100000.09999999999,100000.09999999999,4.971518922775168
2891,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2891,l2,0.11399535559779493,0.004737054373414275,500,3000,505,500,60,1.799541668097178,0.03307486772537231,3028.9354785749383,3277.5513986871133,NaN,NaN,1.8347966853543391e9,407360.60048129247,1.3726240666596273e7,NaN,NaN,254.0461011504451,45.24573072973484,30534.913057592345,58.97981672948234,313.0259178799274,51.00468231733268,46.32553415240943,431.97637488256635,2339.7125766524546,NaN,NaN,NaN,100000.09999999999,63.07358102210445,22.99838477169684
2892,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2892,l2,0.0,0.00015345336702625328,500,3000,505,500,3,0.9017765482266744,0.010563866297403971,3568.495207300822,3778.882946099149,NaN,NaN,5.704273819211201e28,6.154967358374125e26,8.459877623743425e27,NaN,NaN,449.00413909237113,53.599233775829894,1.320750563968992e14,103.61633988522146,552.6204789775926,58.27519373060269,54.4759762673498,1.3844345583880531e13,4.958106419668894e13,NaN,NaN,NaN,100000.09999999999,100000.09999999999,100000.09999999999
2893,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2893,l2,0.002229682059313414,0.00010667887082438314,500,3000,500,500,3,2.58261026541392,0.05777875185012817,2998.308779346426,3210.299747637271,NaN,NaN,7.851816327091734e20,4.226631425284296e20,6.883922201593317e20,NaN,NaN,9.786889079661172e13,43.940664220665575,1.954389708151966e10,2.5119191959064305e13,1.2298808275567602e14,48.555939981456284,44.80602842581382,1.540769437078316e10,1.854922281383751e10,NaN,NaN,NaN,2.06459958414427e-5,12.71026986023691,1.056359528199932e-5
2894,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2894,l2,0.0,0.005491039770474069,500,3000,504,500,3000,13.26724735101064,2.438030119736989,3187.2504817855643,3368.697971618605,NaN,NaN,9.550085279342837e8,8.499672994423525e7,2.821933038507342e9,NaN,NaN,449.0041107417344,48.42051464410401,18670.75975141577,103.6163333297437,552.6204440714781,52.03198969061629,49.09766621532506,6919.5892618076205,31101.577383045485,NaN,NaN,NaN,100000.09999999999,100000.09999998778,99999.88763684618
2895,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2895,l2,0.3368968142175131,0.004809107023419559,500,3000,509,500,9,4.674452483654022,19.573722902933756,11122.91695616803,6422.057934766573,NaN,NaN,1.1314769583029665e47,3.8748486601685494e18,1.1241222643511724e20,NaN,NaN,449.0041538234641,77.79515523553663,2.3554512713588087e23,103.61634107464783,552.6204948981119,73.19675320106134,76.93295485407252,1.3186432980778189e9,6.676295588139136e9,NaN,NaN,NaN,100000.09999999999,100000.09999999999,100000.09999999999
2896,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2896,l2,0.0,0.0009552113732650853,500,3000,597,500,973,4.594754381974538,11.841224499543507,3069.6185843091757,3288.153208152643,NaN,NaN,1.4591437400688909e31,1.6549665460710934e30,7.801228085547042e30,NaN,NaN,168.16558018993592,46.24875173258948,2.550723187589172e15,38.9795288402319,207.14510903016782,50.88464510790415,47.11798174046098,9.306503701683669e14,1.8940964673851658e15,NaN,NaN,NaN,77.55951547760039,57.54747858115652,21.789553234972953
2897,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2897,l2,0.0,0.00011303620824757484,500,3000,509,500,13,7.137623000144958,0.030026765664418538,3442.183949353709,3679.508469493518,NaN,NaN,7.313589154311056e22,2.6466482009766078e20,4.834315186732867e21,NaN,NaN,353.77826588739515,52.14990796525325,1.390770754429091e11,81.69972920214049,435.4779950895356,57.21002655077214,53.09868020003804,8.924689106547905e9,3.622970434870225e10,NaN,NaN,NaN,100000.07372993982,100000.09999999999,41.41331506445559
2898,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2898,l2,0.0,0.004103568083070083,500,3000,553,500,77,1.661675266424815,19.932589650154114,2995.204081342809,3211.0942345091885,NaN,NaN,3.509913296773667e9,1.604039517769731e11,5.716809009475021e9,NaN,NaN,341.8470492277234,44.228570428422664,41809.28587141261,78.90066405393,420.74771328165343,48.68123138286714,45.06344435738101,295430.50406733836,54260.54549335709,NaN,NaN,NaN,100000.09999999999,100000.09999681529,17.188871183022922
2899,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2899,l2,0.0018387205751539677,0.0001339454752858956,500,3000,507,500,7,4.196316885948181,184.87333223025004,1850.060658874861,1422.487403552119,NaN,NaN,0.8509935812546484,0.8722899386775692,0.8370196080224831,NaN,NaN,5.4799935474879586e13,34.52358253289521,0.7255671872423171,3.693133001645227e12,5.849306847652482e13,32.12672783166617,34.07417227641477,0.7303545412472305,0.7218795775214307,NaN,NaN,NaN,0.02388167309438082,1.3669458401167869e-5,5.94639613063235e-5
2900,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2900,l2,0.001527869361298376,0.006066257164998117,500,3000,547,500,46,1.548932683467865,55.41799529790878,3035.1548517912806,3301.4853577275003,NaN,NaN,3.0765438208299893e21,1.0539022645533847e22,3.6767770349895423e21,NaN,NaN,258.4556063704165,44.67552811972322,3.4027256382492092e10,59.82302588127481,318.2786322516913,49.930097628174835,45.66075990255789,6.848592250789456e10,3.777209353863241e10,NaN,NaN,NaN,100000.09999999999,86.828804003909,33.88325457909939
2901,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2901,l2,0.00878339927025756,0.00013510266903209257,500,3000,512,500,12,2.5590803464253744,0.03673460086186727,3012.47409592089,3207.8550038454173,NaN,NaN,1.2771505186319067e19,1.14659304286642e16,2.3130847382861347e17,NaN,NaN,256.27253738422854,43.88051917361308,2.586411130786095e9,59.13098758385425,315.4035249680828,48.726752214148945,44.78918786871355,7.588763296089919e7,3.2528715905330306e8,NaN,NaN,NaN,60.755674450869385,100000.09999999999,16.72714972565557
2902,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2902,l2,0.3606194402443525,0.00030004159755837845,500,3000,518,500,18,3.0305888017018634,33.75858525037766,2599.7464048757065,2449.1749977191917,NaN,NaN,10.40670758208636,54.600917231199354,12.849789638143053,NaN,NaN,328.5820559364237,38.085915247085126,2.273671016714653,75.42193064513759,404.0039865815614,38.902288929002815,38.2389853124447,5.278883273771438,2.5430569593177776,NaN,NaN,NaN,100000.09999999999,100000.09999999999,7.175912194435393
2903,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2903,l2,0.3295464301121624,0.001659390591584268,500,3000,574,500,77,2.8412506182988486,2.0697216828664144,3055.069647185279,3183.2350135200163,NaN,NaN,46.740159781557296,7317.8954472398555,58.48455854259533,NaN,NaN,379.55523869731917,42.27917480912088,4.369878561865734,76.43744425197002,455.99268294928925,44.032199064485695,42.60786685700178,51.149916596920946,5.0551532081624115,NaN,NaN,NaN,100000.09999999999,100000.09999999999,10.239067018776248
2904,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2904,l2,0.008850365595231679,0.0009780050241212652,500,3000,512,500,13,1.1384875019391378,0.01326503356297811,3478.2307724234483,3718.329623262927,NaN,NaN,4.710323263938379e7,1.8462151488334336e9,6.60383933226294e7,NaN,NaN,266.83565476740114,52.63509402627304,3588.01842558202,61.85640404737205,328.6920588147732,57.6791407466655,53.58085278634662,23740.48064373818,4309.432242728283,NaN,NaN,NaN,74.86365757374688,100000.09999999999,41.12619817965962
2905,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2905,l2,0.0,0.0024371739682464613,500,3000,504,500,4,5.628017767270406,0.3115445176760356,3194.568741026767,3415.9938841084963,NaN,NaN,8.46940974529101e24,2.304054019707224e23,2.2536486635774915e24,NaN,NaN,449.004138363216,48.66122804729775,1.733941980040958e12,103.61633972192172,552.6204780851376,53.39699913321013,49.54918512590633,3.0940500034381323e11,9.09619693163456e11,NaN,NaN,NaN,100000.09999999999,100000.09999999999,100000.09999999977
2906,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2906,l2,0.9712521087219093,0.008226199605008937,500,3000,515,500,15,2.5583835164705913,1.8919784863789877,2936.9781027560603,3152.044682808133,NaN,NaN,4.784394429637259e16,2.830211454857146e15,1.9100638555534332e16,NaN,NaN,250.76711596783508,41.696815196497646,1.4971126378471896e8,58.08076666016812,308.8478826280032,46.453953088638485,42.58877855127405,3.949141151698593e7,9.61117466188796e7,NaN,NaN,NaN,75.11319389170535,100000.09999999999,5.491107982632608
2907,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2907,l2,0.001180108504607035,0.0022379642574864235,500,3000,583,500,104,1.40829891761144,9.43300329844157,3415.214989275733,3652.2824074572595,NaN,NaN,1.1014103554910563e46,2.418026846931128e38,7.05594254792572e39,NaN,NaN,263.4745181775308,51.817763382960756,5.645854909344275e22,60.787027096056015,324.2615452735869,56.87357392982273,52.76572786049737,9.043088041990586e18,4.634761233154676e19,NaN,NaN,NaN,100000.09999999999,52.47046231514482,47.0364991408614
2908,boehm_export_augmented,-,16,3,5,tanh,1,lhs,2908,l2,0.0022118873094728805,0.00021527979204299878,500,3000,520,500,20,17.460180032253266,5.667716936270396,8906.153952431714,7379.836164088124,NaN,NaN,600.1116334466703,481.254067525773,574.1900727174827,NaN,NaN,361.0743483115226,80.31963983544358,14.030329548288641,83.1787396878719,444.25308799939455,80.02036433995548,80.26352568003955,13.954263918585234,13.918762125902022,NaN,NaN,NaN,100000.09999999999,37.48054064162267,100000.09999999999
2909,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2909,l2,0.03956190868349161,0.0012354512519581779,500,3000,503,500,2,1.2900307536125184,0.043400951226552326,4353.711146863313,3978.9223705274426,NaN,NaN,4.870741695765124e22,2.8602130187877458e23,8.944835534361878e22,NaN,NaN,1.3644574953216627e7,57.68623748039559,1.3358817828004512e11,3.0446210816734536e6,1.6689196034890078e7,57.73019041514884,57.69447865566181,3.535217824637443e11,1.834110902598949e11,NaN,NaN,NaN,100000.09999999999,0.03972390079957805,60157.90947448399
2910,boehm_export_augmented,-,16,3,5,tanh,0,lhs,2910,l2,0.0628544654736277,0.00869696972625832,500,3000,541,500,41,1.391299883524577,0.031235933303833008,2916.481918060883,3129.7188555687744,NaN,NaN,9.078237199593602e15,8.323354273180132e15,8.816891751425137e15,NaN,NaN,323.9854701707372,40.331103724156215,6.839223501371513e7,74.41024689006137,398.3957170607986,44.59727715859135,41.13101124311281,6.724287712410249e7,6.780709534675203e7,NaN,NaN,NaN,100000.09999999999,100000.09999999999,4.7153294463625075
