ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,negLL_obs_val,negLL_obs_trainval,negLL_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
2118,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,2118,l2,0.005507752411874411,0.00013898125773023924,500,3000,524.0,500.0,29.0,2.610706619421641,7.176512666543325,2990.7744881297976,3191.139651716688,NaN,NaN,2.8279437115983424e24,1.4261608176931061e23,1.0420456805549495e24,NaN,NaN,342.1992014394146,78.80736961047523,421.00657104988977,NaN,100000.09999999999,100000.09999999999,20.17848437671332
2119,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,2119,l2,0.0,0.00035093962442452975,500,3000,514.0,500.0,16.0,2.9898616671562195,0.06270226637522379,3868.1900870156173,3962.604066946779,NaN,NaN,2.0186918328881485e24,2.469068602470811e20,5.818344223150565e21,NaN,NaN,358.5213727952715,82.68607970661446,441.207452501886,NaN,100000.09999999999,57.543652594095136,100000.09999999999
2120,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,2120,l2,0.3316657031582344,0.00031085164001265454,500,3000,518.0,500.0,30.0,2.25419983069102,0.12703406413396198,1762.29532896484,1786.1969193023308,NaN,NaN,0.2133506128806724,0.20229898394841828,0.21197238826970322,NaN,NaN,245.90755083663615,57.855445154739115,303.7629959913753,NaN,18.79593173527323,52.14048524797219,100000.09999999999
2121,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,2121,l2,0.04655718236923599,0.0038779370790097186,500,3000,504.0,500.0,4.0,0.5273910840352376,1.2799213846524558,1246.2807583078486,822.3432172997336,NaN,NaN,0.1569144168458346,0.09447731799610715,0.14413970838513487,NaN,NaN,267.2002924536931,59.38070878073004,326.5810012344232,NaN,29.357977785727833,27.31515062218331,100000.09999999999
2122,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,2122,l2,0.009180638639381794,0.002970548005485583,500,3000,520.0,500.0,23.0,3.3873692313830057,1.5116632501284282,1085.7015634447962,388.46298323624563,NaN,NaN,0.2731980195774204,0.13345408395663055,0.2540817688977223,NaN,NaN,240.50812697799032,53.982504156563415,294.4906311345537,NaN,30.957910468522844,100000.09999999999,10.301851130036386
2123,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,2123,l2,0.0015034341429221076,0.001646204595531144,500,3000,274.0,500.0,2.0,1.364288600285848,0.015186166763305664,926.4388978248296,263.55039615979115,NaN,NaN,0.22217923918321789,0.12157078478648792,0.20626604701568807,NaN,NaN,2.6366668069735016e11,2.6818915865216614e10,2.904855965625668e11,NaN,0.00019924552084609864,13329.710633960005,0.00012284916071389175
2124,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,2124,l2,0.21856547271668514,0.006804709703563282,500,3000,514.0,500.0,15.0,1.1189382990201315,0.06649808486302694,6025.567117096565,31899.590869229287,NaN,NaN,38.219630646396794,1.6972147773426545,6.883292303236538,NaN,NaN,267.3120276772555,59.42038080964844,326.732408486904,NaN,100000.09999999999,20.67002764270142,66.23289033096937
2125,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,2125,l2,0.0,0.00024069432785557001,500,3000,504.0,500.0,3000.0,3.330331802368164,1.1873991330464682,1489.9153768920035,976.86422518723,NaN,NaN,0.21670918931844987,0.1299685643991817,0.19996357632583128,NaN,NaN,449.0041331019098,103.61633817726045,552.6204712791703,NaN,100000.09999999999,100000.09999999999,100000.08509814827
2126,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,2126,l2,0.0,0.00017694918780399957,500,3000,504.0,500.0,2.0,2.2809237519900005,0.011040019989013671,3851.152697938819,3929.1171118989078,NaN,NaN,1.2978470680003047e24,1.2887798236748941e23,6.335609459454299e23,NaN,NaN,449.00413964355215,103.6163399528267,552.6204795963788,NaN,100000.09999999999,100000.09999999999,100000.09999999999
2127,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,2127,l2,0.0,0.00019038991623724036,500,3000,517.0,500.0,57.0,3.0981041828791303,0.056124317646026614,80790.01665938759,5531.07214851145,NaN,NaN,3.4168764586300255e10,2.04369841598592e11,1.4895000851950232e10,NaN,NaN,358.52163594934905,82.68604337636953,441.20767932571863,NaN,100000.09999999999,57.51378624999341,100000.09999999999
2128,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,2128,l2,0.03583225165329981,0.00020826748562106196,500,3000,524.0,500.0,24.0,3.213606798648834,0.05788665215174357,2990.9880764799113,3196.056128392951,NaN,NaN,9.138908566175584e18,1.8274419045084146e19,1.022377292035191e19,NaN,NaN,341.4302117879866,78.60705378225614,420.03726557024277,NaN,100000.09999999999,100000.09965442293,15.55810307668973
2129,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,2129,l2,0.0,0.0005848424938546385,500,3000,503.0,500.0,2.0,4.5745726505915325,82.76182941595714,1214.4840700571513,615.8887678013656,NaN,NaN,0.1894661210314412,0.0946060448387421,0.17101015282087204,NaN,NaN,1.6021353439464477e8,2.4695782876620915e7,1.8490931727126572e8,NaN,100000.09999999999,0.009116422552141578,0.8883523403802933
2130,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,2130,l2,0.011042587645618608,0.0005763744087483664,500,3000,527.0,500.0,27.0,1.818287150065104,0.023199113210042317,2949.918767671138,3163.625067035328,NaN,NaN,9.755619084265575e11,8.203763944037279e11,9.435244566708965e11,NaN,NaN,336.7229778275216,77.65301838035228,414.3759962078739,NaN,100000.09999999999,100000.09999999999,10.528885884909203
