ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,negLL_obs_val,negLL_obs_trainval,negLL_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
11,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,11,l2,0.8260018826925963,0.0007795883946838626,500,3000,539,500,41,0.34790550072987875,0.035468598206837974,318.9877107461337,29.702186943876637,NaN,NaN,0.062180361380999416,0.006929969663422766,0.05163868164238525,NaN,NaN,113.64257393744933,22.348284174427633,135.99085811187695,NaN,29.317333715373824,9.93102012109059,4.025308232153279
12,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,12,l2,0.001482322938306297,0.005713233359036982,500,3000,504,500,6,0.2883755485216776,0.009572299321492513,301.31279965084144,30.23258518739795,NaN,NaN,0.05991312845696646,0.008165212020835035,0.04994338774291138,NaN,NaN,113.07323943288029,22.862977967593338,135.93621740047362,NaN,27.628785568229407,11.027969280324642,4.318432798696538
13,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,1,lhs,13,l2,0.08190920465184422,0.009094675621214136,500,3000,507,500,30,3.3084920684496564,0.1160161018371582,1088.5174772587832,283.0197675667984,NaN,NaN,0.1939201012756083,0.0653070293950364,0.17383841782106205,NaN,NaN,143.88746147996918,29.939202650458768,173.82666413042796,NaN,37.10600188857146,42.391116840382786,8.98129827252403
14,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,14,l2,0.005375235715227534,0.0003600110144734593,500,3000,522,500,23,1.4212746818860371,0.07662056684494019,1020.4691834594079,303.1499860651743,NaN,NaN,0.14183403450168466,0.04769866558185711,0.12477070000856862,NaN,NaN,131.25915061165367,27.050666554583223,158.30981716623688,NaN,37.66542372314038,34.65362046169446,3.443957430497875
15,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,15,l2,0.0067462237270952425,0.0006750656801221905,500,3000,507,500,9,0.8274688005447388,8.782215384642283,3039.886830130057,3529.154650943647,NaN,NaN,14738.480202738047,649.4168939804958,3429.411740284404,NaN,NaN,207.35428522905505,47.82412354274855,255.17840877180356,NaN,2303.948080516864,43.582004496291255,28.53063955770149
16,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,16,l2,0.07340915321983858,0.0002650508957329134,500,3000,525,500,203,2.360181967417399,1.5016112168629965,316.0609949435323,28.20172217090774,NaN,NaN,0.05942470136299551,0.0059007372806492596,0.04915876102304581,NaN,NaN,113.23054020834854,21.40592127897331,134.63646148732184,NaN,27.554897693898738,9.180606520460577,3.168341090482541
17,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,17,l2,0.01013551875386917,0.000713449067425445,500,3000,504,500,159,0.4473057826360067,0.07623507976531982,3709.7586309977723,4464.273392439917,NaN,NaN,36149.4058114157,33.51580686824712,479.333807774864,NaN,NaN,194.38096664946139,43.434001332698344,237.81496798215971,NaN,476.99544919824007,48.44845786692878,16.819286094629533
18,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,18,l2,0.006099412249972123,0.008760606170937171,500,3000,297,500,7,0.33026220003763834,0.027697598934173583,3208.28993879158,3415.8245199299663,NaN,NaN,7.842394328394627e6,611718.454510744,1.6216463569092192e6,NaN,NaN,172.21478597529608,40.00331079464619,212.2180967699423,NaN,73.63593124654943,57.55950254635128,29.743216429548703
19,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,19,l2,0.06145875820027603,0.00015828640329369607,500,3000,528,500,29,2.2823132475217185,6.265309369564056,3027.742803664123,3235.229767597252,NaN,NaN,2.0784245986205512e6,463481.19294820644,3.4903357864237e7,NaN,NaN,166.8581053259439,38.71161173168856,205.56971705763246,NaN,68.6454664216638,56.59331661187009,24.052401433033843
20,boehm_papb_differential_BaF3_Epo,-,16,3,5,tanh,0,lhs,20,l2,0.20975237188389625,0.00011588417476566515,500,3000,589,500,132,0.21842341423034667,0.14118948380152385,171.6975461375703,26.826946510179603,NaN,NaN,0.03643887314848978,0.005894617092980392,0.03031798029272527,NaN,NaN,100.2551191466381,19.564089462251808,119.81920860888988,NaN,21.36985404561144,3.70296301160027,6.153475254360403
